"OBJECTID","Num_Cases","xcoord","ycoord","Label","Address","City","Region","Postal","CountryCode"
"76","2","-0.137396763656547","51.513164179966601","Broad Street","William Blake House, Marshall Street","London","England","W1F 7","GBR"
"77","1","-0.137482521018903","51.512725702543399","Broad Street","54 Marshall Street","London","England","W1F 9","GBR"
"78","2","-0.137543615013487","51.512924295068402","Broad Street","2 Marshall Street","London","England","W1F 9","GBR"
"79","2","-0.137298346448132","51.5134795660477","Broad Street","William Blake House, Broadwick Street","London","England","W1F 7","GBR"
"80","3","-0.137360192613021","51.513114304224899","Broad Street","55 Broadwick Street","London","England","W1F 7","GBR"
"81","2","-0.137298346448132","51.5134795660477","Broad Street","William Blake House, Broadwick Street","London","England","W1F 7","GBR"
"82","1","-0.137506477276944","51.5123848925316","Broad Street","7 Upper James Street","London","England","W1F 9","GBR"
"83","1","-0.137298346448132","51.5134795660477","Broad Street","William Blake House, Broadwick Street","London","England","W1F 7","GBR"
"84","2","-0.137409801253404","51.512756645831701","Broad Street","2 Marshall Street","London","England","W1F 9","GBR"
"85","5","-0.138314594226917","51.513928557277701","Carnaby Street","City of Westminister Dwellings, Marshall Street","London","England","W1F 7","GBR"
"86","1","-0.137218683298323","51.513502969774102","Broad Street","58 Broadwick Street","London","England","W1F 7","GBR"
"87","2","-0.137360192613021","51.513114304224899","Broad Street","55 Broadwick Street","London","England","W1F 7","GBR"
"88","1","-0.137278057875526","51.512637627554597","Broad Street","51 Beak Street","London","England","W1F 9","GBR"
"89","1","-0.137241802839198","51.512236001250301","Broad Street","1 Upper James Street","London","England","W1F 9","GBR"
"90","3","-0.137360192613021","51.513114304224899","Broad Street","55 Broadwick Street","London","England","W1F 7","GBR"
"91","1","-0.137278057875526","51.512637627554597","Broad Street","51 Beak Street","London","England","W1F 9","GBR"
"92","1","-0.137241802839198","51.512236001250301","Broad Street","1 Upper James Street","London","England","W1F 9","GBR"
"93","1","-0.13718336970352","51.514855258173498","Broad Street","19 Poland Street","London","England","W1F 7","GBR"
"94","1","-0.137298346448132","51.5134795660477","Broad Street","William Blake House, Broadwick Street","London","England","W1F 7","GBR"
"95","2","-0.1372315327064","51.512559303632102","Broad Street","2 Marshall Street","London","England","W1F 9","GBR"
"96","3","-0.137017118009199","51.514462345446503","Broad Street","47 Poland Street","London","England","W1F 8","GBR"
"97","2","-0.137041496363172","51.514642327261903","Broad Street","13 Poland Street","London","England","W1F 8","GBR"
"98","1","-0.137360192613021","51.513114304224899","Broad Street","55 Broadwick Street","London","England","W1F 7","GBR"
"99","1","-0.137007719414718","51.512644468418301","Broad Street","57 Beak Street","London","England","W1F 9","GBR"
"100","4","-0.136926526745227","51.5132417827921","Broad Street","47 Broadwick Street","London","England","W1F 7","GBR"
"101","2","-0.136986332389048","51.5125732198604","Broad Street","40 Beak Street","London","England","W1F 9","GBR"
"102","3","-0.136935737319967","51.514483340660597","Broad Street","11 Poland Street","London","England","W1F 8","GBR"
"103","2","-0.136902134862788","51.5133113618108","Broad Street","56 Broadwick Street","London","England","W1F 7","GBR"
"104","1","-0.136885133361741","51.512686212363903","Broad Street","61 Beak Street","London","England","W1F 9","GBR"
